"","DATE","OPEN","HIGH","LOW","CLOSE"
"2","26/09/2018","1,205.5","1,206.9","1,194.6","1,199.1"
"3","24/09/2018","1,204.0","1,208.8","1,198.6","1,204.4"
"4","21/09/2018","1,212.1","1,215.8","1,196.0","1,201.3"
"5","20/09/2018","1,208.8","1,213.2","1,205.1","1,211.3"
"6","19/09/2018","1,202.8","1,211.0","1,202.2","1,208.3"
"7","18/09/2018","1,206.4","1,208.2","1,200.3","1,202.9"
"8","17/09/2018","1,199.8","1,209.7","1,197.5","1,205.8"
"9","14/09/2018","1,206.6","1,213.8","1,197.7","1,201.1"
"10","13/09/2018","1,212.4","1,218.0","1,205.0","1,208.2"
"11","12/09/2018","1,203.5","1,213.9","1,197.6","1,210.9"
"12","11/09/2018","1,200.4","1,204.8","1,192.7","1,202.2"
"13","10/09/2018","1,200.7","1,203.8","1,196.2","1,199.8"
"14","07/09/2018","1,205.6","1,209.0","1,198.7","1,200.4"
"15","06/09/2018","1,202.5","1,212.7","1,200.5","1,204.3"
"16","05/09/2018","1,197.2","1,204.2","1,196.4","1,201.3"
"17","04/09/2018","1,206.3","1,209.7","1,195.1","1,199.1"
"18","31/08/2018","1,206.3","1,214.9","1,204.1","1,206.7"
"19","30/08/2018","1,212.6","1,214.0","1,202.1","1,205.0"
"20","29/08/2018","1,206.6","1,213.7","1,206.6","1,211.5"
"21","27/08/2018","1,214.5","1,218.8","1,209.3","1,216.0"
"22","24/08/2018","1,191.6","1,215.4","1,189.5","1,213.3"
"23","23/08/2018","1,202.8","1,203.4","1,190.2","1,194.0"
"24","22/08/2018","1,203.0","1,208.4","1,199.2","1,203.3"
"25","21/08/2018","1,197.3","1,204.3","1,194.3","1,200.0"
"26","20/08/2018","1,190.4","1,197.7","1,189.6","1,194.6"
"27","17/08/2018","1,180.7","1,192.0","1,178.5","1,184.2"
"28","16/08/2018","1,183.0","1,189.0","1,167.1","1,184.0"
"29","15/08/2018","1,201.5","1,202.0","1,180.0","1,185.0"
"30","14/08/2018","1,201.1","1,205.8","1,198.9","1,200.7"
"31","13/08/2018","1,218.4","1,221.4","1,198.6","1,198.9"
"210","10/08/2018","1,220.0","1,224.9","1,213.1","1,219.0"
"32","09/08/2018","1,222.0","1,225.6","1,218.4","1,219.9"
"41","07/08/2018","1,215.8","1,224.3","1,215.6","1,218.3"
"51","06/08/2018","1,222.0","1,226.0","1,214.4","1,217.7"
"61","03/08/2018","1,216.0","1,228.5","1,212.5","1,223.2"
"71","02/08/2018","1,224.7","1,230.0","1,215.3","1,220.1"
"81","01/08/2018","1,232.7","1,233.7","1,224.4","1,227.6"
"91","31/07/2018","1,230.5","1,237.8","1,222.6","1,233.6"
"101","30/07/2018","1,231.1","1,234.1","1,227.8","1,231.5"
"111","27/07/2018","1,231.4","1,236.5","1,226.3","1,232.7"
"121","26/07/2018","1,240.8","1,244.6","1,231.3","1,235.3"
"131","25/07/2018","1,233.3","1,243.4","1,232.5","1,241.0"
"141","23/07/2018","1,240.7","1,244.7","1,231.1","1,234.4"
"151","20/07/2018","1,222.9","1,232.4","1,215.3","1,231.1"
"161","19/07/2018","1,227.3","1,229.6","1,210.7","1,224.0"
"171","18/07/2018","1,227.0","1,229.1","1,220.9","1,227.9"
"181","17/07/2018","1,240.8","1,245.1","1,225.9","1,227.3"
"191","16/07/2018","1,241.0","1,245.8","1,238.3","1,239.7"
"201","13/07/2018","1,247.7","1,248.5","1,236.2","1,241.2"
"211","12/07/2018","1,242.3","1,248.8","1,241.4","1,246.6"
"221","11/07/2018","1,256.7","1,257.3","1,241.7","1,244.4"
"231","10/07/2018","1,258.5","1,261.0","1,247.7","1,255.4"
"241","09/07/2018","1,255.7","1,266.9","1,255.7","1,259.6"
"251","06/07/2018","1,258.4","1,260.2","1,253.7","1,255.8"
"261","05/07/2018","1,253.5","1,262.4","1,252.2","1,258.8"
"271","03/07/2018","1,242.9","1,258.5","1,238.8","1,253.5"
"281","02/07/2018","1,253.4","1,255.6","1,240.6","1,241.7"
"291","29/06/2018","1,249.5","1,257.1","1,246.9","1,254.5"
"301","28/06/2018","1,253.6","1,255.8","1,247.2","1,251.0"
"311","27/06/2018","1,260.5","1,261.9","1,252.2","1,256.1"
"212","26/06/2018","1,267.3","1,269.4","1,256.4","1,259.9"
"33","25/06/2018","1,272.2","1,274.4","1,265.5","1,268.9"
"42","22/06/2018","1,268.6","1,273.1","1,268.4","1,270.7"
"52","21/06/2018","1,269.7","1,272.3","1,262.4","1,270.5"
"62","20/06/2018","1,277.5","1,278.6","1,269.6","1,274.5"
"72","19/06/2018","1,285.1","1,278.6","1,272.6","1,278.6"
"82","18/06/2018","1,281.1","1,284.9","1,279.5","1,280.1"
"92","15/06/2018","1,305.9","1,306.7","1,277.9","1,278.5"
"102","14/06/2018","1,303.1","1,313.0","1,301.0","1,308.3"
"112","13/06/2018","1,299.6","1,305.2","1,294.5","1,301.3"
"122","12/06/2018","1,304.5","1,304.8","1,296.3","1,299.4"
"132","11/06/2018","1,303.5","1,307.0","1,297.8","1,303.2"
"142","08/06/2018","1,301.3","1,304.8","1,296.0","1,302.7"
"152","07/06/2018","1,300.9","1,307.8","1,299.0","1,303.0"
"162","06/06/2018","1,300.6","1,306.1","1,297.7","1,301.4"
"172","05/06/2018","1,296.4","1,304.8","1,293.5","1,302.2"
"182","04/06/2018","1,296.7","1,302.3","1,293.8","1,297.3"
"192","01/06/2018","1,303.0","1,304.8","1,293.1","1,299.3"
"202","31/05/2018","1,306.0","1,311.5","1,301.0","1,304.7"
"213","30/05/2018","1,303.1","1,308.8","1,300.0","1,306.5"
"222","29/05/2018","1,305.7","1,311.3","1,296.6","1,304.1"
"232","25/05/2018","1,309.0","1,312.6","1,304.6","1,309.0"
"242","24/05/2018","1,298.0","1,311.8","1,297.4","1,309.8"
"252","23/05/2018","1,295.9","1,303.8","1,292.0","1,294.8"
"262","22/05/2018","1,298.2","1,301.3","1,292.8","1,297.4"
"272","21/05/2018","1,290.9","1,290.9","1,290.9","1,290.9"
"282","18/05/2018","1,290.0","1,293.7","1,285.1","1,291.3"
"292","17/05/2018","1,290.2","1,294.0","1,284.0","1,289.4"
"302","16/05/2018","1,290.1","1,296.4","1,285.7","1,291.5"
"312","15/05/2018","1,313.2","1,314.7","1,288.2","1,290.3"
"214","14/05/2018","1,318.3","1,322.4","1,312.8","1,318.2"
"34","11/05/2018","1,321.8","1,326.3","1,317.0","1,320.7"
"43","10/05/2018","1,312.8","1,323.4","1,310.6","1,322.3"
"53","09/05/2018","1,315.3","1,317.8","1,304.2","1,313.0"
"63","08/05/2018","1,314.1","1,318.5","1,306.2","1,313.7"
"73","07/05/2018","1,316.3","1,320.1","1,310.6","1,314.1"
"83","04/05/2018","1,312.8","1,316.9","1,308.5","1,314.7"
"93","03/05/2018","1,305.5","1,319.0","1,305.2","1,312.7"
"103","02/05/2018","1,304.4","1,314.9","1,304.3","1,305.6"
"113","01/05/2018","1,316.0","1,317.4","1,302.3","1,306.8"
"123","30/04/2018","1,324.0","1,325.9","1,310.7","1,319.2"
"133","27/04/2018","1,318.0","1,326.4","1,315.8","1,323.4"
"143","26/04/2018","1,324.2","1,328.0","1,316.2","1,317.9"
"153","25/04/2018","1,332.0","1,333.8","1,320.2","1,322.8"
"163","24/04/2018","1,326.1","1,334.5","1,323.6","1,333.0"
"173","23/04/2018","1,336.2","1,337.6","1,323.8","1,324.0"
"183","20/04/2018","1,348.5","1,348.9","1,337.0","1,338.3"
"193","19/04/2018","1,352.4","1,357.7","1,343.2","1,348.8"
"203","18/04/2018","1,350.4","1,359.0","1,345.0","1,353.5"
"215","17/04/2018","1,349.1","1,352.2","1,340.2","1,349.5"
"223","16/04/2018","1,349.8","1,353.5","1,342.8","1,350.7"
"233","13/04/2018","1,337.6","1,350.3","1,335.5","1,347.9"
"243","12/04/2018","1,356.3","1,356.7","1,336.7","1,341.9"
"253","11/04/2018","1,343.1","1,369.4","1,342.5","1,360.0"
"263","09/04/2018","1,338.0","1,341.5","1,330.1","1,340.1"
"273","06/04/2018","1,329.7","1,339.1","1,322.6","1,336.1"
"283","05/04/2018","1,337.1","1,338.7","1,326.0","1,328.5"
"293","04/04/2018","1,336.7","1,352.5","1,335.2","1,340.2"
"303","03/04/2018","1,345.0","1,346.6","1,332.7","1,337.3"
"313","02/04/2018","1,330.7","1,349.2","1,329.0","1,346.9"
"216","29/03/2018","1,329.3","1,332.6","1,325.4","1,327.3"
"35","28/03/2018","1,351.1","1,352.2","1,327.7","1,330.0"
"44","27/03/2018","1,359.3","1,362.6","1,345.4","1,347.9"
"54","26/03/2018","1,350.6","1,361.8","1,349.2","1,360.9"
"64","23/03/2018","1,335.5","1,356.3","1,334.7","1,355.7"
"74","22/03/2018","1,338.0","1,340.8","1,330.3","1,333.2"
"84","21/03/2018","1,317.0","1,342.6","1,315.5","1,327.3"
"94","20/03/2018","1,316.5","1,318.1","1,306.6","1,311.9"
"104","19/03/2018","1,312.9","1,319.6","1,307.4","1,317.8"
