"","DATE","OPEN","HIGH","LOW","CLOSE"
"2","26/09/2018","72.13","72.54","72.11","72.41"
"3","25/09/2018","71.94","72.2","71.84","72.12"
"4","24/09/2018","71.14","72.74","71.14","72.08"
"5","21/09/2018","70.2","71.8","69.98","70.78"
"6","20/09/2018","70.2","71.8","69.98","70.78"
"7","19/09/2018","69.71","71.5","69.65","71.12"
"8","18/09/2018","68.8","70.42","68.53","69.85"
"9","17/09/2018","68.93","69.72","68.53","68.91"
"10","14/09/2018","68.79","69.91","67.94","68.99"
"11","13/09/2018","68.79","69.91","67.94","68.99"
"12","12/09/2018","69.89","71.26","69.5","70.37"
"13","11/09/2018","67.53","70.01","67.48","69.25"
"14","10/09/2018","67.82","68.52","67.35","67.54"
"15","07/09/2018","67.88","68.08","66.86","67.75"
"16","06/09/2018","67.88","68.08","66.86","67.75"
"17","05/09/2018","69.43","69.59","68.56","68.72"
"18","04/09/2018","69.89","71.4","69.08","69.87"
"19","03/09/2018","70.1","70.12","69.98","70.06"
"20","31/08/2018","70.06","70.36","69.64","69.8"
"21","30/08/2018","70.06","70.36","69.64","69.8"
"22","29/08/2018","68.54","69.76","68.37","69.51"
"23","28/08/2018","68.93","69.2","68.21","68.53"
"24","27/08/2018","68.57","68.97","68.34","68.87"
"25","24/08/2018","67.9","69.31","67.78","68.72"
"26","23/08/2018","67.88","69.31","67.78","68.54"
"27","22/08/2018","66.08","68.15","65.98","67.86"
"28","21/08/2018","66.62","68.1","66.52","67.35"
"29","20/08/2018","65.91","66.68","65.59","66.43"
"30","17/08/2018","65.47","66.39","65.3","65.91"
"31","16/08/2018","65.47","66.39","65.3","65.91"
"210","15/08/2018","66.62","66.9","64.51","65.01"
"32","14/08/2018","67.42","68.37","66.58","67.04"
"41","13/08/2018","67.78","67.95","65.71","67.2"
"51","10/08/2018","66.74","67.87","66.14","67.63"
"61","09/08/2018","66.75","67.86","66.16","67.78"
"71","07/08/2018","68.9","69.83","68.81","69.17"
"81","06/08/2018","68.65","69.92","68.5","69.01"
"91","03/08/2018","68.99","69.24","67.87","68.49"
"101","02/08/2018","68.99","69.24","67.87","68.49"
"111","01/08/2018","68.43","68.52","67.31","67.66"
"121","31/07/2018","70.05","70.22","67.98","68.76"
"131","30/07/2018","69.01","70.43","68.8","70.13"
"141","27/07/2018","69.58","69.77","68.26","68.69"
"151","26/07/2018","69.58","69.77","68.26","68.69"
"161","25/07/2018","68.77","69.7","68.2","69.3"
"171","23/07/2018","68.17","69.31","67.6","67.89"
"181","20/07/2018","69.39","71.1","69.37","70.46"
"191","19/07/2018","68.12","68.91","67.72","68.13"
"201","18/07/2018","67.61","69.06","67.06","68.76"
"211","17/07/2018","66.91","67","66.81","66.88"
"221","16/07/2018","70.52","70.87","67.58","68.06"
"231","13/07/2018","70.38","71.66","69.84","71.01"
"241","12/07/2018","70.29","71.66","69.84","70.56"
"251","11/07/2018","74.2","74.26","70.02","70.38"
"261","10/07/2018","74.04","74.7","73.65","74.11"
"271","09/07/2018","73.87","74.28","72.99","73.85"
"281","06/07/2018","73.16","74.01","72.14","73.8"
"291","05/07/2018","73.16","74.01","72.14","73.8"
"301","04/07/2018","74.12","74.16","73.74","73.88"
"311","03/07/2018","74.08","75.27","72.73","74.14"
"212","02/07/2018","73.62","74.35","72.51","73.94"
"33","29/06/2018","73.33","74.46","72.93","74.15"
"42","28/06/2018","73.33","74.46","72.93","74.15"
"52","27/06/2018","70.68","73.06","70.56","72.76"
"62","26/06/2018","68.21","70.91","67.72","70.53"
"72","25/06/2018","68.75","69.44","67.78","68.08"
"82","22/06/2018","65.93","69.38","65.71","68.58"
"92","21/06/2018","65.83","69.38","65.83","69.25"
"102","20/06/2018","65.11","66.53","65.01","66.22"
"112","19/06/2018","65.82","65.9","64.39","65.07"
"122","18/06/2018","64.4","65.98","63.59","65.85"
"132","15/06/2018","67","67.09","64.29","65.06"
"142","14/06/2018","66.97","67.09","64.29","64.32"
"152","13/06/2018","66.01","66.89","65.52","66.64"
"162","12/06/2018","66.05","66.69","65.87","66.36"
"172","11/06/2018","65.56","66.35","64.85","66.1"
"182","08/06/2018","65.98","66.24","65.33","65.74"
"192","07/06/2018","65.98","66.24","65.15","65.74"
"202","06/06/2018","65.51","65.96","64.27","64.73"
"213","05/06/2018","64.94","65.57","64.22","65.52"
"222","04/06/2018","65.71","66.04","64.57","64.75"
"232","01/06/2018","67.07","67.34","65.51","65.81"
"242","31/05/2018","67.09","67.33","65.52","65.72"
"252","30/05/2018","66.85","68.67","66.35","68.21"
"262","29/05/2018","67.55","67.55","65.8","66.73"
"272","28/05/2018","67.03","67.15","66.7","66.81"
"282","25/05/2018","70.65","70.8","67.42","67.88"
"292","24/05/2018","70.69","70.75","67.42","67.48"
"302","23/05/2018","72.11","72.26","71.19","71.84"
"312","22/05/2018","72.53","72.83","71.9","72.13"
"214","21/05/2018","72.54","72.61","72.47","72.53"
"34","18/05/2018","71.6","71.75","70.99","71.28"
"43","17/05/2018","71.6","71.75","70.99","71.28"
"53","16/05/2018","71.02","71.59","70.66","71.49"
"63","15/05/2018","71.15","71.89","70.42","71.31"
"73","14/05/2018","70.54","71.26","70.26","70.96"
"83","11/05/2018","71.45","71.63","70.45","70.7"
"93","10/05/2018","71.52","71.59","70.45","70.52"
"103","09/05/2018","70.05","71.36","69.85","71.14"
"113","08/05/2018","70.03","70.4","67.63","69.06"
"123","07/05/2018","69.85","70.84","69.51","70.73"
"133","04/05/2018","68.5","69.97","68.12","69.72"
"143","03/05/2018","68.5","69.97","68.12","69.72"
"153","02/05/2018","67.49","68.14","66.92","67.93"
"163","01/05/2018","68.56","68.9","66.85","67.25"
"173","30/04/2018","68.15","69.34","67.17","68.57"
"183","27/04/2018","68.21","68.36","67.65","68.1"
"193","26/04/2018","68.12","68.34","67.67","68.02"
"203","25/04/2018","67.75","68.18","67.11","68.05"
"215","24/04/2018","68.95","69.38","67.54","67.7"
"223","23/04/2018","68.22","69.03","67.14","68.64"
"233","20/04/2018","68.26","68.62","67.5","68.38"
"243","19/04/2018","68.34","68.62","67.48","68.28"
"253","18/04/2018","66.68","68.9","66.56","68.47"
"263","17/04/2018","66.42","66.75","65.56","66.52"
"273","16/04/2018","67.24","67.74","66.13","66.22"
"283","13/04/2018","67.18","67.76","66.7","67.39"
"293","12/04/2018","66.86","67.75","66.7","67.33"
"303","11/04/2018","65.58","67.33","65.15","66.82"
"313","10/04/2018","63.3","65.86","63.2","65.51"
"216","09/04/2018","62","63.61","61.93","63.42"
"35","06/04/2018","63.7","63.79","61.81","62.06"
"44","05/04/2018","63.18","63.67","61.81","61.92"
"54","04/04/2018","63.59","63.64","62.06","63.37"
"64","03/04/2018","62.89","63.86","62.86","63.51"
"74","02/04/2018","64.91","65.42","62.8","63.01"
"84","29/03/2018","64.69","65.26","64.17","64.94"
"94","28/03/2018","64.69","65.26","64.16","64.94"
"104","27/03/2018","65.53","66.41","64.53","65.25"
"114","26/03/2018","65.9","66.55","65.08","65.55"
"124","23/03/2018","64.28","66","64.11","65.88"
"134","22/03/2018","65.7","65.74","64.14","64.3"
"144","21/03/2018","63.72","65.55","63.58","65.17"
"154","20/03/2018","62.1","63.81","62.08","63.4"
"164","19/03/2018","62.23","62.35","61.36","62.06"
"174","16/03/2018","61.19","62.54","61.08","62.34"
"184","15/03/2018","60.95","61.54","60.82","61.19"
"194","14/03/2018","60.87","61.33","60.11","60.96"
"204","13/03/2018","61.37","61.97","60.27","60.71"
"217","12/03/2018","62.04","61.36","60.67","61.36"
"224","09/03/2018","60.27","62.18","60.14","62.04"
"234","08/03/2018","61.33","61.4","59.95","60.12"
"244","07/03/2018","62.3","62.58","60.58","61.15"
"254","06/03/2018","62.58","63.28","62.17","62.6"
"264","05/03/2018","61.55","62.79","61.1","62.57"
"274","02/03/2018","61.34","61.6","60.13","61.25"
"284","01/03/2018","61.55","61.83","60.18","60.99"
"294","28/02/2018","62.79","63.44","61.36","61.64"
"304","27/02/2018","64.06","64.08","62.64","63.01"
"314","26/02/2018","63.6","64.24","63.06","63.91"
"218","23/02/2018","62.6","63.73","62.33","63.55"
"36","22/02/2018","61.34","63.09","60.75","62.77"
"45","21/02/2018","61.63","61.86","60.92","61.68"
"55","20/02/2018","61.63","62.74","61.58","61.9"
"65","16/02/2018","61.45","61.99","60.88","61.68"
"75","15/02/2018","60.71","61.64","59.72","61.34"
"85","14/02/2018","58.95","59.3","58.92","59.19"
"95","13/02/2018","59.35","59.73","58.39","59.19"
"105","12/02/2018","59.12","60.83","59.1","59.29"
"115","09/02/2018","60.43","60.77","58.07","59.2"
"125","08/02/2018","61.7","62.09","60.27","61.15"
"135","07/02/2018","63.92","64.18","61.25","61.79"
"145","06/02/2018","63.43","64.29","63.12","63.39"
"155","05/02/2018","65.1","65.4","63.42","64.15"
"165","02/02/2018","65.99","66.3","64.47","65.45"
"175","01/02/2018","64.76","66.25","64.63","65.8"
"185","31/01/2018","64.03","64.94","63.67","64.73"
"195","30/01/2018","65.53","65.56","63.89","64.5"
"205","29/01/2018","66.18","66.46","64.98","65.56"
"219","26/01/2018","65.25","66.35","64.91","66.14"
"225","25/01/2018","65.88","66.66","65.08","65.51"
"235","24/01/2018","64.42","66.05","64.34","65.61"
"245","23/01/2018","63.88","64.88","63.7","64.47"
"255","22/01/2018","63.61","64.14","63.17","63.49"
"265","19/01/2018","63.74","63.77","62.85","63.37"
"275","18/01/2018","64.07","64.35","63.47","63.95"
"285","17/01/2018","63.89","64.17","63.31","63.97"
"295","16/01/2018","64.43","64.89","63.39","63.73"
"305","12/01/2018","63.57","64.5","63.06","64.3"
"315","11/01/2018","63.5","64.77","63.43","63.8"
"220","10/01/2018","63.41","63.67","63.09","63.57"
"37","09/01/2018","62.23","62.26","62.11","62.16"
"46","08/01/2018","61.61","61.97","61.34","61.73"
"56","05/01/2018","61.9","62.04","61.09","61.44"
"66","04/01/2018","61.96","62.21","61.59","62.01"
"76","03/01/2018","60.42","60.46","60.35","60.38"
"86","02/01/2018","60.2","60.74","60.1","60.37"
"96","29/12/2017","59.91","60.51","59.82","60.42"
"106","28/12/2017","59.53","59.94","59.44","59.84"
"116","27/12/2017","59.79","59.93","59.33","59.64"
"126","26/12/2017","58.4","60.01","58.32","59.97"
"136","22/12/2017","58.21","58.5","57.87","58.47"
"146","21/12/2017","58.02","58.38","57.63","58.36"
"156","20/12/2017","57.66","58.12","57.44","58.09"
"166","19/12/2017","57.3","57.64","57.16","57.46"
"176","18/12/2017","57.37","57.78","56.82","57.16"
"186","15/12/2017","57.15","57.49","56.94","57.3"
"196","14/12/2017","56.7","57.22","56.09","57.04"
"206","13/12/2017","57.45","57.83","56.55","56.6"
"2110","12/12/2017","58.02","58.56","56.85","57.14"
"226","11/12/2017","57.25","58.08","56.91","57.99"
"236","08/12/2017","56.65","57.79","56.54","57.36"
"246","07/12/2017","56","56.78","55.82","56.69"
"256","06/12/2017","57.45","57.57","55.87","55.96"
"266","05/12/2017","57.48","57.92","57.08","57.62"
"276","04/12/2017","58.32","58.34","57.35","57.47"
"286","01/12/2017","57.42","58.88","57.29","58.36"
"296","30/11/2017","57.41","57.98","57.05","57.4"
"306","29/11/2017","57.73","58.3","56.75","57.3"
"316","28/11/2017","57.86","58.11","57.42","57.99"
"227","27/11/2017","58.95","58.99","57.55","58.11"
"38","24/11/2017","58.05","59.05","57.75","58.95"
"47","23/11/2017","57.97","58","57.86","57.88"
"57","22/11/2017","57.12","58.15","57.03","58.02"
"67","21/11/2017","56.38","57.22","56.32","56.83"
"77","20/11/2017","56.69","56.76","55.57","56.09"
"87","17/11/2017","55.25","56.68","55.18","56.55"
"97","16/11/2017","55.3","55.62","54.93","55.14"
"107","15/11/2017","55.06","55.56","54.88","55.33"
"117","14/11/2017","56.72","56.77","54.81","55.7"
"127","13/11/2017","56.9","57.15","56.3","56.76"
